2023-06-16; 18:28:27.204218; 64 PING; 18:28:27.724933; [150/64] PONG 1
2023-06-16; ; ; 18:28:28.007598; 151 keepalive
2023-06-16; ; ; 18:28:28.007598; 152 keepalive
2023-06-16; 18:28:28.261923; 59 PING; 18:28:28.546493; [153/59] PONG 2
2023-06-16; 18:28:28.799926; 60 PING; 18:28:29.323880; [154/60] PONG 2
2023-06-16; 18:28:29.434866; 65 PING; 18:28:29.751140; [155/65] PONG 1
2023-06-16; 18:28:29.434866; 61 PING; 18:28:30.177003; [156/61] PONG 2
2023-06-16; 18:28:29.892629; 66 PING; 18:28:30.838662; [157/66] PONG 1
2023-06-16; 18:28:30.995778; 62 PING; 18:28:31.709361; [158/62] PONG 2
2023-06-16; 18:28:31.565750; 67 PING; 18:28:32.184168; [159/67] PONG 1
2023-06-16; ; ; 18:28:33.009238; 160 keepalive
2023-06-16; ; ; 18:28:33.009238; 161 keepalive
2023-06-16; 18:28:33.689067; 63 PING; 18:28:34.340903; [162/63] PONG 2
2023-06-16; 18:28:34.481660; 68 PING; 18:28:35.380684; [163/68] PONG 1
2023-06-16; 18:28:35.380684; 69 PING; 18:28:36.172565; [164/69] PONG 1
2023-06-16; 18:28:35.965946; 64 PING; 18:28:36.377836; [165/64] PONG 2
2023-06-16; 18:28:36.172565; 70 PING; 18:28:37.075156; [166/70] PONG 1
2023-06-16; 18:28:36.473173; 65 PING; 18:28:37.407165; [167/65] PONG 2
2023-06-16; ; ; 18:28:38.008241; 168 keepalive
2023-06-16; ; ; 18:28:38.008241; 169 keepalive
2023-06-16; 18:28:38.385921; 71 PING; 18:28:38.557835; [170/71] PONG 1
2023-06-16; 18:28:38.197056; 66 PING; 18:28:39.077867; [171/66] PONG 2
2023-06-16; 18:28:40.087886; 72 PING; 18:28:40.231878; [172/72] PONG 1
2023-06-16; 18:28:40.119880; 67 PING; 18:28:41.008209; [173/67] PONG 2
2023-06-16; 18:28:41.423046; 68 PING; 18:28:41.933842; [174/68] PONG 2
2023-06-16; ; ; 18:28:43.003843; 175 keepalive
2023-06-16; ; ; 18:28:43.003843; 176 keepalive
2023-06-16; 18:28:42.843842; 73 PING; 18:28:43.672865; [177/73] PONG 1
2023-06-16; 18:28:43.893896; 69 PING; 18:28:44.685865; [178/69] PONG 2
2023-06-16; 18:28:44.576794; 74 PING; 18:28:45.078941; [179/74] PONG 1
2023-06-16; 18:28:45.286526; 70 PING; 18:28:45.525757; [180/70] PONG 2
2023-06-16; 18:28:46.137918; 71 PING; 18:28:46.689856; [181/71] PONG 2
2023-06-16; 18:28:46.564851; 75 PING; 18:28:47.326780; [182/75] PONG 1
2023-06-16; ; ; 18:28:48.011176; 183 keepalive
2023-06-16; ; ; 18:28:48.011176; 184 keepalive
2023-06-16; 18:28:47.484792; 76 PING; 18:28:48.074788; [185/76] PONG 1
2023-06-16; 18:28:48.500922; 72 PING; 18:28:48.963921; [186/72] PONG 2
2023-06-16; 18:28:50.109063; 77 PING; 18:28:50.391110; [187/77] PONG 1
2023-06-16; 18:28:50.439114; 73 PING; 18:28:50.990325; [188/73] PONG 2
2023-06-16; 18:28:52.508834; 78 PING; 18:28:52.698078; [189/78] PONG 1
2023-06-16; ; ; 18:28:53.013432; 190 keepalive
2023-06-16; ; ; 18:28:53.013432; 191 keepalive
2023-06-16; 18:28:52.903426; 74 PING; 18:28:53.332566; [192/74] PONG 2
2023-06-16; 18:28:53.949758; 79 PING; 18:28:54.893744; [193/79] PONG 1
2023-06-16; 18:28:55.275721; 80 PING; 18:28:55.545385; [194/80] PONG 1
2023-06-16; 18:28:55.498386; 75 PING; 18:28:55.829963; [195/75] PONG 2
2023-06-16; 18:28:56.636714; 81 PING; 18:28:57.079812; [196/81] PONG 1
